17.49650764 78.7095108 50.49873734  -17.49650764 -78.7095108
16.61999512 78.48105621 52.71108627  -16.61999512 -78.48105621
16.47210121 78.41069031 53.11322784  -16.47210121 -78.41069031
15.35652542 78.38993835 56.47599792  -15.35652542 -78.38993835
14.85619926 78.5224762 58.43911362  -14.85619926 -78.5224762
14.81715965 78.52783203 58.64949799  -14.81715965 -78.52783203
14.74352646 78.56526184 59.07769394  -14.74352646 -78.56526184
14.64519405 78.62502289 59.51063156  -14.64519405 -78.62502289
13.62501717 79.03095245 62.36060715  -13.62501717 -79.03095245
13.453866 79.16684723 63.26408768  -13.453866 -79.16684723
12.7162962 80.22158051 67.16324615  -12.7162962 -80.22158051
12.79108334 80.60849762 67.88687897  -12.79108334 -80.60849762
12.46272087 83.20443726 74.31064606  -12.46272087 -83.20443726
12.17136097 83.49765778 75.13135529  -12.17136097 -83.49765778
12.16902256 83.51237488 75.19921112  -12.16902256 -83.51237488
11.99959469 83.82299805 75.92328644  -11.99959469 -83.82299805
11.32813072 87.55500793 82.13833618  -11.32813072 -87.55500793
11.36368847 88.32235718 82.90062714  -11.36368847 -88.32235718
11.02371407 90.2828598 85.60761261  -11.02371407 -90.2828598
10.68555832 92.11328125 87.64289093  -10.68555832 -92.11328125
10.4466238 93.2769928 88.75218201  -10.4466238 -93.2769928
10.2483654 94.55532837 89.74525452  -10.2483654 -94.55532837
9.981801033 95.99147034 90.64373016  -9.981801033 -95.99147034
9.773901939 97.36685181 91.74568176  -9.773901939 -97.36685181
9.554083824 98.38641357 92.33929443  -9.554083824 -98.38641357
9.17097187 100.8258133 93.627388  -9.17097187 -100.8258133
8.2464571 104.0984879 94.83913422  -8.2464571 -104.0984879
7.779006958 106.1662674 95.28275299  -7.779006958 -106.1662674
7.531740189 107.815834 95.45117187  -7.531740189 -107.815834
7.289059162 109.6607285 95.81105804  -7.289059162 -109.6607285
7.060106277 111.9790878 96.09060669  -7.060106277 -111.9790878
6.66910553 113.4414215 96.26806641  -6.66910553 -113.4414215
6.250485897 115.8633041 95.98390198  -6.250485897 -115.8633041
5.456228733 120.2605972 96.02993774  -5.456228733 -120.2605972
5.206787586 121.6682358 95.74006653  -5.206787586 -121.6682358
4.364689827 126.8133926 95.22153473  -4.364689827 -126.8133926
4.264952183 127.173027 95.10501862  -4.264952183 -127.173027
4.075949192 128.0472717 94.84544373  -4.075949192 -128.0472717
